Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIa,scheduleProblem,SP,0,0.8649896782050351
NSGAIIa,roomAllocationProblem,SP,0,1.0
NSGAIIa,scheduleProblem,NHV,0,0.0
NSGAIIa,roomAllocationProblem,NHV,0,0.0
