Turno;Curso;Unidade de execução;Turmas;Inscritos;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;slots;Dia da Semana;Inicio;Fim;Características da sala pedida para a aula;Sala;Lotação;Turno
01718TP01;"MCCTI, MS";Dinâmicas Sociais da Internet;"MCCTI-ICR-A1, MCCTI-CP-A1, MCCTI-CIC-A1, MCCTI-MJ-A1, MSA1";61;;;4;Seg;;;Sala Aulas Mestrado;;;0
01720TP01;MCCTI;Teorias em Média e Comunicação;"MCCTI-ICR-A1, MCCTI-CP-A1, MCCTI-CIC-A1, MCCTI-MJ-A1";52;;;4;Ter;;;Sala Aulas Mestrado;;;0
01721TP01;MCCTI;Média e Opinião Pública;MCCTI-CP-A1;18;;;4;Qui;;;Sala Aulas Mestrado;;;0
01724TP01;"MCCTI, MEECult, MGEC";"Globalização, Arte e Cultura";"MEEC-EIC-B1, MCCTI-CIC-A1";27;;;4;Seg;;;Sala Aulas Mestrado;;;0
01725-1TP01;"MCCTI, MEECult, MGEC";"Organizações, Profissões e Criatividade";;0;;;4;Qua;;;Sala Aulas Mestrado;;;0
01725-1TP02;"MCCTI, MEECult, MGEC";"Organizações, Profissões e Criatividade";"MGEC-EIC-B1, MEEC-EIC-A1, MCCTI-CIC-A1";29;;;4;Qua;;;Sala Aulas Mestrado;;;0
01726TP01;"MEECult, MGEC, MS";"Recepção, Fruição e Públicos da Cultura";"MEEC-PPC-A1, MEEC-M-A1, MEEC-GC-A1, MEEC-EIC-A1, MSA1";47;;;4;Seg;;;Sala Aulas Mestrado;;;0
01727TP01;MCCTI;"Culturas Digitais, Fãs e Web 2.0";MCCTI-ICR-A1;16;;;4;Qua;;;Sala Aulas Mestrado;;;0
01729TP01;MCCTI;Participação Política e Poder na Era Digital;MCCTI-ICR-A1;13;;;4;Qui;;;Sala Aulas Mestrado;;;0
01731TP01;MCCTI;Estudos Críticos em Média e Jornalismo;MCCTI-MJ-A1;16;;;4;Qui;;;Sala Aulas Mestrado;;;0
01733TP01;DCP;Debates e Controvérsias Contemporâneas em Ciência Política;DCPA1;13;;;4;Qua;;;Sala Aulas Mestrado;;;0
01734TP02;DCP;Relações Internacionais na Época Contemporânea;DCPA1;13;;;4;Qui;;;Sala Aulas Mestrado;;;0
01735S01;DCP;Seminário em Ciência Política;DCPA1;7;;;4;Qui;;;Sala Aulas Mestrado;;;0
01736S01;DCP;Seminário de Projecto de Investigação em Ciência Política;DCPA1;6;;;4;Ter;;;Sala Aulas Mestrado;;;0
01738S01;DCP;Seminário em Relações Internacionais;DCPA1;7;;;4;Qui;;;Sala Aulas Mestrado;;;0
01739S01;DCP;Seminário de Projecto de Investigação em Relações Internacionais;DCPA1;7;;;4;Ter;;;Sala Aulas Mestrado;;;0
01741-1TP01;MEAS;Teorias da Cidade e do Território;MEASTA1;1;;;8;Qua;;;Sala Aulas Mestrado;;;0
01741-2TP01;MEU;Teorias da Cidade e do Território;EUA1;9;;;4;Seg;;;Não necessita de sala;;;0
01742-1TP01;MEU;Desenvolvimento Urbano e Políticas de Cidade;EUA1;9;;;4;Ter;;;Não necessita de sala;;;0
01743TP01;MEU;Tempos e Cidades;EUA1;9;;;4;Ter;;;Não necessita de sala;;;0
01753S01;DEU;Teorias em Estudos Urbanos;DEUA1;14;;;4;Sex;;;Sala Aulas Mestrado;;;0
01754S01;DEU;Metodologias de Investigação em Estudos Urbanos;DEUA1;17;;;4;Sex;;;Sala Aulas Mestrado;;;0
01768-1TP01;LIGE;Fundamentos de Contabilidade de Gestão;"IC2, IC1";80;;;3;Seg;;;Sala de Aulas normal;;;1
01768-1TP01;LIGE;Fundamentos de Contabilidade de Gestão;"IC2, IC1";80;;;6;Sex;;;Sala de Aulas normal;;;1
01768TP01;LIGE-PL;Fundamentos de Contabilidade de Gestão;I-PLC1;20;;;3;Seg;;;Sala de Aulas normal;;;0
01768TP01;LIGE-PL;Fundamentos de Contabilidade de Gestão;I-PLC1;20;;;6;Ter;;;Sala de Aulas normal;;;0
01772TP01;"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS";Métodos de Inquirição Online;"MEAPRIA1, MEAGDCA1, MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1, MCTRLB1, MESB1";15;;;4;Ter;;;Sala Aulas Mestrado;;;0
01773TP01;"MAE, MCP, MCTRL, MCCTI, MES, MEECult, MEA, MEInt, MGEC, MPP, MSS, MS";Métodos de Análise de Multimédia;"MEAPRIA1, MEAGDCA1, MCCTIB1, MSocB1, MPPB1, MCPB1, MAEB1, MEIB1, MSB1, MSSB1, MCTRLB1, MESB1";24;;;4;Seg;;;Sala Aulas Mestrado;;;0
01778TP01;MEMSSFC;Direito da Família;MEMSSFCA1;20;;;8;Seg;;;Sala Aulas Mestrado;;;1
01778TP01;MEMSSFC;Direito da Família;MEMSSFCA1;20;;;8;Ter;;;Sala Aulas Mestrado;;;1
01784T01;MG;Planeamento e Inovação em Marketing;MGA1;38;;;3;Ter;;;Sala Aulas Mestrado;;;1
01784T02;MG;Planeamento e Inovação em Marketing;MGA2;36;;;3;Seg;;;Sala Aulas Mestrado;;;1
01784T03;MG;Planeamento e Inovação em Marketing;MGA4;37;;;3;Seg;;;Sala Aulas Mestrado;;;1
01784T04;MG;Planeamento e Inovação em Marketing;MGA3;39;;;3;Sex;;;Sala Aulas Mestrado;;;1
01784TP05;MG;Planeamento e Inovação em Marketing;MGA2;36;;;3;Ter;;;Sala Aulas Mestrado;;;1
01784TP06;MG;Planeamento e Inovação em Marketing;MGA1;38;;;3;Qua;;;Sala Aulas Mestrado;;;1
01784TP07;MG;Planeamento e Inovação em Marketing;MGA4;37;;;3;Seg;;;Sala Aulas Mestrado;;;1
01784TP08;MG;Planeamento e Inovação em Marketing;MGA3;39;;;3;Sex;;;Sala Aulas Mestrado;;;1
01788TP01;ME;Microeconomia (2º Ciclo);MEA1;28;;;6;Seg;;;Sala Aulas Mestrado;;;1
01788TP01;ME;Microeconomia (2º Ciclo);MEA1;28;;;3;Ter;;;Sala Aulas Mestrado;;;1
01788TP01;ME;Microeconomia (2º Ciclo);MEA1;28;;;3;Qui;;;Sala Aulas Mestrado;;;1
01796-1S04;MG;Seminário de Investigação em Gestão;MGB3;52;;;6;Seg;;;Sala Aulas Mestrado;;;0
01796-1S04;MG;Seminário de Investigação em Gestão;MGB3;52;;;6;Sex;;;Sala Aulas Mestrado;;;0
01796-1S05;MG;Seminário de Investigação em Gestão;MGB1;57;;;6;Qua;;;Sala Aulas Mestrado;;;0
01796-1S05;MG;Seminário de Investigação em Gestão;MGB1;57;;;6;Qui;;;Laboratório de Informática;;;0
01805T01;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT1;4;;;4;Seg;;;Sala de Aulas normal;;;1
01805T01;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT1;4;;;4;Qua;;;Sala de Aulas normal;;;1
01805T02;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT2;0;;;4;Seg;;;Sala de Aulas normal;;;0
01805T02;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT2;0;;;4;Qua;;;Sala de Aulas normal;;;0
01805T03;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT3;5;;;4;Ter;;;Sala de Aulas normal;;;1
01805T03;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT3;5;;;4;Qui;;;Sala de Aulas normal;;;1
01805T04;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT4;3;;;4;Ter;;;Sala de Aulas normal;;;0
01805T04;ISCTE-IUL;Português Como Língua Estrangeira - Iniciação;CI-CT4;3;;;4;Qui;;;Sala de Aulas normal;;;0
01811S01;MGST;Seminário de Investigação em Gestão de Serviços e Tecnologia;MGSTB1;33;;;6;Ter;;;Sala Aulas Mestrado;;;0
01811S01;MGST;Seminário de Investigação em Gestão de Serviços e Tecnologia;MGSTB1;33;;;8;Qua;;;Laboratório de Informática;;;0
01820S02;MGRH;Seminário de Investigação em Gestão de Recursos Humanos;MGRHB3;0;;;6;Sáb;;;Sala Aulas Mestrado;;;1
01825TP01;MIA;Sintaxe Espacial e Complexidade;"ARE6, ARE5, ARE4, ARE3, ARE2, ARE1";21;;;6;Seg;;;Sala de Aulas normal;;;1
01827-1TP01;"MEU, MIA";Urbanismo Ecológico;"ARE6, ARE5, ARE4, ARE3, ARE2, ARE1";20;;;6;Seg;;;Sala de Aulas normal;;;1
01896TP01;DF;Finanças da Empresa I;DFA1;3;;;6;Qua;;;Sala Aulas Mestrado;;;1
01925TP01;MEMF;Finanças das Empresas;MEMFA1;51;;;4;Qua;;;Sala Aulas Mestrado;;;0
01938T01;ISCTE-IUL;Português Como Língua Estrangeira - Elementar;CI-CT1;3;;;4;Seg;;;Sala de Aulas normal;;;1
01938T01;ISCTE-IUL;Português Como Língua Estrangeira - Elementar;CI-CT1;3;;;4;Qua;;;Sala de Aulas normal;;;1
01976-1TP01;"MEECult, MMA";Marketing Cultural;MEEC-GC-A1;25;;;4;Qui;;;Sala Aulas Mestrado;;;0
01977-1TP01;"MEECult, MMA";Contabilidade e Finanças para Organizações Culturais;MEEC-GC-A1;19;;;4;Qui;;;Sala Aulas Mestrado;;;0
01986TP01;"MCCTI, MEECult";Narrativas Digitais e Entretenimento Transmedia;"MEEC-EIC-A1, MCCTIB1";26;;;4;Qua;;;Sala Aulas Mestrado;;;0
01996TP01;MED;Teorias e Práticas do Desenvolvimento;"MEDSGA1, MEDDSA1, MEDDLDMA1";16;;;8;Qua;;;Sala Aulas Mestrado;;;0
019TP01;"MEECult, MGEC";Turismo e Património;MEEC-PPC-B1;10;;;4;Qua;;;Sala Aulas Mestrado;;;0
02016TP01;MEAS;Ambiente e Sociedade;"MEASAEA1, MEASTA1";14;;;8;Qui;;;Sala Aulas Mestrado;;;0
02017TP01;MEAS;Gestão da Biodiversidade;"MEASAEA1, MEASTA1";13;;;8;Sex;;;Sala Aulas Mestrado;;;0
02031TP01;LG;Gestão Integrada das Operações;GC5;36;;;3;Seg;;;Sala de Aulas normal;;;1
02031TP01;LG;Gestão Integrada das Operações;GC5;36;;;3;Ter;;;Sala de Aulas normal;;;1
02031TP01;LG;Gestão Integrada das Operações;GC5;36;;;3;Sex;;;Sala de Aulas normal;;;1
02031TP02;LG;Gestão Integrada das Operações;GC2;45;;;3;Seg;;;Sala de Aulas normal;;;1
02031TP02;LG;Gestão Integrada das Operações;GC2;45;;;3;Ter;;;Sala de Aulas normal;;;1
02031TP02;LG;Gestão Integrada das Operações;GC2;45;;;3;Sex;;;Sala de Aulas normal;;;1
02031TP03;LG;Gestão Integrada das Operações;GC4;38;;;3;Seg;;;Sala de Aulas normal;;;1
02031TP03;LG;Gestão Integrada das Operações;GC4;38;;;3;Ter;;;Sala de Aulas normal;;;1
02031TP03;LG;Gestão Integrada das Operações;GC4;38;;;3;Qua;;;Sala de Aulas normal;;;1
02031TP04;LG;Gestão Integrada das Operações;GC1;40;;;3;Seg;;;Sala de Aulas normal;;;1
02031TP04;LG;Gestão Integrada das Operações;GC1;40;;;3;Ter;;;Sala de Aulas normal;;;1
02031TP04;LG;Gestão Integrada das Operações;GC1;40;;;3;Qui;;;Sala de Aulas normal;;;1
02031TP05;LG;Gestão Integrada das Operações;GC3;37;;;3;Seg;;;Sala de Aulas normal;;;1
02031TP05;LG;Gestão Integrada das Operações;GC3;37;;;3;Ter;;;Sala de Aulas normal;;;1
02031TP05;LG;Gestão Integrada das Operações;GC3;37;;;3;Sex;;;Sala de Aulas normal;;;1
02031TP06;LG;Gestão Integrada das Operações;GC6;36;;;3;Seg;;;Sala de Aulas normal;;;1
02031TP06;LG;Gestão Integrada das Operações;GC6;36;;;3;Qua;;;Sala de Aulas normal;;;1
02031TP06;LG;Gestão Integrada das Operações;GC6;36;;;3;Qui;;;Sala de Aulas normal;;;1
02031TP07;LG;Gestão Integrada das Operações;GCi;41;;;3;Seg;;;Sala de Aulas normal;;;1
02031TP07;LG;Gestão Integrada das Operações;GCi;41;;;3;Qua;;;Sala de Aulas normal;;;1
02031TP07;LG;Gestão Integrada das Operações;GCi;41;;;3;Sex;;;Sala de Aulas normal;;;1
02036S02;MF;Seminário de Projecto em Finanças;MFB3;36;;;6;Seg;;;Sala Aulas Mestrado;;;0
02036S02;MF;Seminário de Projecto em Finanças;MFB3;36;;;6;Ter;;;Sala Aulas Mestrado;;;0
02038TP01;LSS-PL;Seminário Prática Profissional em Serviço Social;"SS-PL-C2, SS-PL-C1";46;;;6;Qui;;;Sala de Aulas normal;;;1
02039TP01;LSS-PL;Seminário de Grupos e Intervenção Comunitária;"SS-PL-C2, SS-PL-C1";45;;;6;Seg;;;Sala de Aulas normal;;;1
02040TP01;LSS-PL;Instituições Penais: Contexto e Atores;"SS-PL-C2, SS-PL-C1";25;;;6;Ter;;;Sala de Aulas normal;;;0
02050TP02;MAP;Responsabilidade na Administração Pública;MAPA1;18;;;4;Qui;;;Sala Aulas Mestrado;;;0
02055TP01;MCCTI;Estágio em Comunicação e Cultura;MCCTIB1;20;;;4;Seg;;;Não necessita de sala;;;0
02070TP01;"MEInt, MHMC";Globalização e Governação nas Relações Internacionais;"MHMCRIB1, MHMCB1, MEIA1";51;;;4;Seg;;;Sala Aulas Mestrado;;;0
02071TP01;MEInt;"Conflitos, Peace-Building e Regulação Internacional";MEIA1;43;;;4;Qua;;;Sala Aulas Mestrado;;;0
02072TP01;MEInt;Europa Como Ator Global;MEIA1;41;;;4;Seg;;;Sala Aulas Mestrado;;;0
02073TP01;MEInt;"Antropologia, Cidadania e Direitos Humanos";MEIA1;48;;;4;Qua;;;Sala Aulas Mestrado;;;0
02075S01;MEInt;Dissertação em Estudos Internacionais;MEIB1;15;;;4;Qua;;;Sala Aulas Mestrado;;;0
02124-1TP01;"MEECult, MMA";Gestão Cultural;"MEEC-PPC-A1, MEEC-M-A1, MEEC-GC-A1, MEEC-EIC-A1";45;;;4;Seg;;;Sala Aulas Mestrado;;;0
02129-1T01;LIGE;Estratégia Organizacional;ID1;57;;;3;Qua;;;Sala de Aulas normal;;;1
02129-1TP03;LIGE;Estratégia Organizacional;ID1;57;;;3;Qua;;;Sala de Aulas normal;;;1
02129T02;LIGE-PL;Estratégia Organizacional;I-PLD1;7;;;3;Qua;;;Sala de Aulas normal;;;0
02129TP04;LIGE-PL;Estratégia Organizacional;I-PLD1;7;;;3;Qua;;;Sala de Aulas normal;;;0
02130TP01;LGIL;Sistemas Tecnológicos I;GILB1;37;;;3;Qua;;;Sala de Aulas normal;;;1
02130TP01;LGIL;Sistemas Tecnológicos I;GILB1;37;;;3;Sex;;;Sala de Aulas normal;;;1
02132TP01;LGIL;Modelação de Sistemas e Processos;GILC1;39;;;3;Seg;;;Sala de Aulas normal;;;1
02132TP01;LGIL;Modelação de Sistemas e Processos;GILC1;39;;;3;Qua;;;Sala de Aulas normal;;;1
02132TP01;LGIL;Modelação de Sistemas e Processos;GILC1;39;;;3;Sex;;;Sala de Aulas normal;;;1
02136TP01;MAP;Recursos Humanos na Administração Pública;MAPB1;16;;;4;Seg;;;Sala Aulas Mestrado;;;0
02158TP01;ISCTE-IUL;Seminário em Estudos da Internet;SEMIN_15;9;;;4;Ter;;;Sala de Aulas normal;;;1
02159TP01;ISCTE-IUL;Seminário em Media e Jornalismo;SEMIN_15;14;;;4;Qui;;;Sala de Aulas normal;;;1
02160TP01;ISCTE-IUL;Seminário em Comunicação Politica;SEMIN_15;13;;;4;Qua;;;Sala de Aulas normal;;;1
02162TP01;ISCTE-IUL;Seminário em Cultura e Industrias Criativas;SEMIN_15;13;;;4;Sex;;;Sala de Aulas normal;;;1
02163TP01;ISCTE-IUL;Seminário em Narrativas Digitais e Entretenimento;SEMIN_15;10;;;4;Qui;;;Sala de Aulas normal;;;1
02165TP01;MEMSSFC;Metodologia do Serviço Social (Em);MEMSSFCA1;19;;;6;Ter;;;Sala Aulas Mestrado;;;1
02172-1TP01;PGJILP;"Jornalismo em Rede, Internet e Sociedade";;0;;;4;Ter;;;Sala de Aulas normal;;;0
02172TP01;PGJ;"Jornalismo em Rede, Internet e Sociedade";PJJA1;14;;;4;Seg;;;Não necessita de sala;;;1
02172TP01;PGJ;"Jornalismo em Rede, Internet e Sociedade";PJJA1;14;;;4;Ter;;;Não necessita de sala;;;1
02174TP01;PGJ;"Géneros Digitais, Alinhamento e Fontes Jornalísticas";PJJA1;14;;;4;Qua;;;Não necessita de sala;;;1
02174TP01;PGJ;"Géneros Digitais, Alinhamento e Fontes Jornalísticas";PJJA1;14;;;4;Qui;;;Não necessita de sala;;;1
02174TP01;PGJ;"Géneros Digitais, Alinhamento e Fontes Jornalísticas";PJJA1;14;;;4;Sex;;;Não necessita de sala;;;1
02175-1PLTP01;PGJILP;"Reportagem, Entrevista e Investigação em Rede";;0;;;4;Ter;;;Sala de Aulas normal;;;0
02189-3TP01;"LE, LFC, LGM";Economia Aplicada à Decisão Empresarial;"GMKC1, FCC2, FCC1, EC2, EC1";40;;;6;Seg;;;Sala de Aulas normal;;;1
02189-3TP01;"LE, LFC, LGM";Economia Aplicada à Decisão Empresarial;"GMKC1, FCC2, FCC1, EC2, EC1";40;;;6;Ter;;;Sala de Aulas normal;;;1
02189-3TP01;"LE, LFC, LGM";Economia Aplicada à Decisão Empresarial;"GMKC1, FCC2, FCC1, EC2, EC1";40;;;6;Qua;;;Sala de Aulas normal;;;1
02189-3TP01;"LE, LFC, LGM";Economia Aplicada à Decisão Empresarial;"GMKC1, FCC2, FCC1, EC2, EC1";40;;;6;Qui;;;Sala de Aulas normal;;;1
02192TP01;MS;Teorias Sociológicas;MSA1;14;;;4;Seg;;;Sala Aulas Mestrado;;;0
02198TP01;"DCTI, METI, MEI";Processamento Computacional da Língua;"METIB1, METI-PLA1, DCTIA1, MEI-MB1, MEI-MA1";26;;;6;Qua;;;Laboratório de Informática;;;0
02202TP01;MCCTI;Televisão e Sociedade;MCCTIB1;12;;;4;Ter;;;Sala Aulas Mestrado;;;0
02208TP01;PGJILP;Jornalismo de Dados e Visualização de Informação;;0;;;4;Qua;;;Sala de Aulas normal;;;0
02237TP01;ISCTE-IUL;"Violência, Guerra e Conflito em África";;0;;;4;Ter;;;Não necessita de sala;;;1
02237TP01;ISCTE-IUL;"Violência, Guerra e Conflito em África";;0;;;4;Qui;;;Não necessita de sala;;;1
02238TP01;ISCTE-IUL;Economia e Poder em África;;0;;;4;Qua;;;Sala de Aulas normal;;;1
02238TP01;ISCTE-IUL;Economia e Poder em África;;0;;;4;Sex;;;Sala de Aulas normal;;;1
02247-6TP01;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Apresentações Profissionais;CI-CT1;26;;;6;Ter;;;Sala de Aulas normal;;;1
02253PL01;ISCTE-IUL;Voluntariado;CI-CT1;65;;;4;Sex;;;Não necessita de sala;;;1
02254-6TP01;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Gestão da Imagem Pessoal;CI-CT1;21;;;2;Qui;;;Sala de Aulas normal;;;1
02254-6TP02;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Gestão da Imagem Pessoal;CI-CT2;26;;;2;Qui;;;Sala de Aulas normal;;;1
02277TSTP01;PC;Arte e Arquitetura Portuguesa;SIPN;5;;;6;Seg;;;Sala Aulas Mestrado;;;1
02282TP01;PC;História Marítima do Mundo Atlântico 1400-1975;PCA1;7;;;6;Qua;;;Sala Aulas Mestrado;;;1
02283T01;PC;Política e Desenvolvimento de Portugal Contemporâneo;PCA1;10;;;6;Qui;;;Sala Aulas Mestrado;;;1
02331PL01;ISCTE-IUL;Introdução às Finanças Computacionais;MMF-MI;0;;;6;Qua;;;Sala de Aulas normal;;;0
02361S01;PGHGCS;"Políticas, Organizações e Profissões de Saúde";PGHDCS-01;0;;;10;Sex;;;Sala Aulas Mestrado;;;1
02361S01;PGHGCS;"Políticas, Organizações e Profissões de Saúde";PGHDCS-01;0;;;10;Sáb;;;Sala Aulas Mestrado;;;1
02391T01;PC;"Música, Migrações e Modernização da Sociedade Contemporânea Portuguesa";SIPN;4;;;6;Qua;;;Sala Aulas Mestrado;;;1
02399TP01;LP;Psicologia das Organizações e do Trabalho;"PB3, PB1";50;;;6;Seg;;;Sala de Aulas normal;;;1
02399TP02;LP;Psicologia das Organizações e do Trabalho;"PB4, PB2";59;;;6;Ter;;;Sala de Aulas normal;;;1
02402TP01;MS;"Género, Forças Armadas e Segurança Internacional";MSA1;8;;;9;Seg;;;Sala Aulas Mestrado;;;0
02411S02;MEECult;Dissertação em Empreendedorismo e Estudos da Cultura;"MEEC-PPC-B1, MEEC-M-B1";9;;;4;Qua;;;Sala Aulas Mestrado;;;0
02413S01;MMA;Dissertação em Mercados da Arte;MMA-B1;20;;;4;Sex;;;Sala Aulas Mestrado;;;0
02416S02;PGADCS;"Seminário de Pesquisa Extensiva em Ciências Sociais: Metodologias de Recolha, Tratamento e Análise de Dados (6ects)";PG-ADCSA1;18;;;6;Qua;;;Laboratório de Informática;;;0
02416S02;PGADCS;"Seminário de Pesquisa Extensiva em Ciências Sociais: Metodologias de Recolha, Tratamento e Análise de Dados (6ects)";PG-ADCSA1;18;;;6;Qui;;;Laboratório de Informática;;;0
02421TP01;PGJILP;Informação de Agência e Linguagem Jornalística;;0;;;4;Qua;;;Sala Aulas Mestrado;;;0
02430TP01;LGRH;Comunicação Organizacional;GRHC1;48;;;6;Qui;;;Sala de Aulas normal;;;1
02478T01;DHESD;"Ciclo de Conferências do Doutoramento em História, Estudos de Segurança e Defesa I";DHESDA1;11;;;4;Sex;;;Sala Aulas Mestrado;;;0
02480S01;DHESD;"Seminário de Preparação de Projeto de Doutoramento em História, Estudos de Segurança e Defesa I";DHESDA1;18;;;4;Qua;;;Não necessita de sala;;;0
02533TP01;ISCTE-IUL;Métodos de Avaliação de Projetos;CI-IBS2;24;;;6;Seg;;;Sala de Aulas normal;;;1
02568S01;DCP;Tese em Ciência Política - Especialização em Ciência Política III;DCPC1;5;;;4;Sex;;;Sala Aulas Mestrado;;;0
02595S01;DEA;Tese em Estudos Africanos III;DEAC1;9;;;4;Qui;;;Sala Aulas Mestrado;;;0
02640S01;DHMC;Tese em História Moderna e Contemporânea I;DHMCB1;7;;;6;Qui;;;Sala Aulas Mestrado;;;0
02658S02;DSS;Tese em Serviço Social I;;0;;;6;Qua;;;Sala Aulas Mestrado;;;1
02658S02;DSS;Tese em Serviço Social I;;0;;;6;Qua;;;Sala Aulas Mestrado;;;1
02658S02;DSS;Tese em Serviço Social I;;0;;;6;Qui;;;Sala Aulas Mestrado;;;1
02658S02;DSS;Tese em Serviço Social I;;0;;;6;Sex;;;Sala Aulas Mestrado;;;1
02658T01;DSS;Tese em Serviço Social I;;0;;;6;Ter;;;Sala Aulas Mestrado;;;1
02660S02;DSS;Tese em Serviço Social III;;0;;;6;Qua;;;Sala Aulas Mestrado;;;1
02660S02;DSS;Tese em Serviço Social III;;0;;;6;Qui;;;Sala Aulas Mestrado;;;1
02660S02;DSS;Tese em Serviço Social III;;0;;;6;Sex;;;Sala Aulas Mestrado;;;1
02660T01;DSS;Tese em Serviço Social III;;0;;;6;Ter;;;Sala Aulas Mestrado;;;1
02662S01;DS;Tese em Sociologia I;DSB1;9;;;4;Seg;;;Sala Aulas Mestrado;;;0
02664S01;DS;Tese em Sociologia III;DSC1;20;;;4;Seg;;;Sala Aulas Mestrado;;;0
02668TP01;LE;Economia e Estratégia da Propriedade Intelectual;"EC2, EC1";25;;;3;Ter;;;Sala de Aulas normal;;;1
02668TP01;LE;Economia e Estratégia da Propriedade Intelectual;"EC2, EC1";25;;;3;Qui;;;Sala de Aulas normal;;;1
02670TP01;MGE;Contabilidade e Reporte Financeiro (6ects);MGEA1;30;;;6;Ter;;;Sala Aulas Mestrado Plus;;;1
02670TP02;MGE;Contabilidade e Reporte Financeiro (6ects);MGEA2;28;;;6;Seg;;;Sala Aulas Mestrado Plus;;;1
02671TTP01;MSCA;Desenvolvimento de Software de Código Aberto;MSCA-A1;16;;;6;Sex;;;Laboratório de Informática;;;0
02674TTP01;MIG;Tecnologias e Sistemas Cloud;MIGA1;20;;;3;Qua;;;Sala Aulas Mestrado;;;0
02674TTP01;MIG;Tecnologias e Sistemas Cloud;MIGA1;20;;;3;Qui;;;Sala Aulas Mestrado;;;0
02675T01;MIG;Seminário em Informática de Gestão;MIGB1;22;;;8;Qui;;;Sala Aulas Mestrado;;;0
02677TP01;ISCTE-IUL;Seminário em Métodos de Pesquisa e Análise na Internet;SEMIN_15;6;;;4;Seg;;;Sala de Aulas normal;;;1
02683TP01;MDE;Seminário sobre Temas de Direito das Sociedades Comerciais (6 Ects);MDEDSCB1;37;;;4;Seg;;;Sala Aulas Mestrado;;;0
02683TP01;MDE;Seminário sobre Temas de Direito das Sociedades Comerciais (6 Ects);MDEDSCB1;37;;;4;Qui;;;Sala Aulas Mestrado;;;0
02684TP01;MDE;Seminário sobre Temas de Direito do Trabalho (6 Ects);MDEDTB1;18;;;4;Seg;;;Sala Aulas Mestrado;;;0
02796TP02;PC;Introdução à Antropologia: Portugal Estudo de Campo;PCA1;12;;;6;Ter;;;Sala Aulas Mestrado;;;1
02798TP01;CEPPARM;Administração da Água: o Papel dos Municípios;CE-PPARM01;0;;;14;Sex;;;Sala Aulas Mestrado;;;1
02798TP01;CEPPARM;Administração da Água: o Papel dos Municípios;CE-PPARM01;0;;;5;Sáb;;;Sala Aulas Mestrado;;;1
02798TP01;CEPPARM;Administração da Água: o Papel dos Municípios;CE-PPARM01;0;;;7;Sáb;;;Sala Aulas Mestrado;;;1
02817TP02;MPCPCJR;Avaliação Psicológica da Criança e do Adulto;MPCPCJRA1;28;;;8;Seg;;;Sala Aulas Mestrado;;;0
02827S01;DSS;Empreendedorismo e Integração Social;DSSA1;5;;;9;Qua;;;Sala Aulas Mestrado;;;0
02830TP01;MIA;Acompanhamento de Obra e Fotogrametria;"ARE6, ARE5, ARE4, ARE3, ARE2, ARE1";26;;;6;Seg;;;Sala de Aulas normal;;;1
02835-1TP01;"LFC, LGIL";Gestão de Transportes;"FCC2, FCC1, GILC1";22;;;6;Ter;;;Sala de Aulas normal;;;1
02839TP01;PGPPSDN;Planeamento das Políticas Públicas;PG PPSDN_01;8;;;4;Seg;;;Sala Aulas Mestrado;;;0
02841TP01;PGPPSDN;Seminário de Temas Contemporâneos em Segurança e Defesa Nacional I;PG PPSDN_01;8;;;4;Qua;;;Sala Aulas Mestrado;;;0
02844TP01;CECVI;Geração de Visualizações na Era Digital;CE-VSI01;18;;;8;Sáb;;;Sala Aulas Mestrado;;;1
02847TP01;LSS-PL;Direito da Família e da Criança;"SS-PL-B2, SS-PL-B1";41;;;6;Qui;;;Sala de Aulas normal;;;1
02848TP01;LSS-PL;Análise de Dados Descritiva;SS-PL-B2;21;;;6;Ter;;;Laboratório de Informática;;;1
02848TP01;LSS-PL;Análise de Dados Descritiva;SS-PL-B2;21;;;3;Qua;;;Sala de Aulas normal;;;0
02848TP02;LSS-PL;Análise de Dados Descritiva;SS-PL-B1;25;;;6;Ter;;;Laboratório de Informática;;;1
02848TP02;LSS-PL;Análise de Dados Descritiva;SS-PL-B1;25;;;3;Qua;;;Sala de Aulas normal;;;0
02852TP01;LSS-PL;Abordagens à Psicopatologia;"SS-PL-C2, SS-PL-C1";47;;;6;Ter;;;Sala de Aulas normal;;;1
02853S01;LSS-PL;Estágio em Serviço Social II (18 Ects);;1;;;4;Ter;;;Não necessita de sala;;;1
